,Topic,Words,Frequency,Class
104,12,"robin, robins, victoria, love, scherbatsky",326,male
105,13,"smell, smells, cologne, perfume, stink",309,male
106,14,"ring, rings, bracelet, engagement, jewelry",247,male
107,15,"smoke, cigarette, smoking, cigarettes, smoked",282,male
108,16,"space, moon, astronaut, nasa, astronauts",305,male
109,17,"maris, mariss, marisa, tomei, marta",360,male
110,18,"howard, howards, tap, mother, space",243,male
111,19,"marshall, marshalls, eriksen, sank, awesome",182,male
112,20,"raj, rajs, rajesh, whispers, howard",231,male
113,21,"eddie, eddies, dog, walk, dad",259,male
114,22,"dance, dancing, dancer, ballet, danced",189,male
115,23,"forget, remember, forgot, memory, memories",186,male
116,24,"dentist, teeth, toothbrush, tooth, dental",211,male
117,25,"scared, fear, scary, afraid, fears",201,male
118,26,"weekend, friday, thursday, saturday, sunday",199,male
119,27,"lawyer, judge, court, law, lawyers",212,male
120,28,"plane, airport, flight, fly, jet",186,male
121,29,"table, menu, tables, menus, foosball",175,male
122,30,"monkey, monkeys, zoo, mugged, gorilla",170,male
123,31,"mail, email, mailman, envelope, emails",180,male
124,32,"psychiatrist, therapist, therapy, psychiatry, couples",191,male
125,33,"fired, firing, youre, quit, randy",177,male
126,34,"tickets, ticket, golden, extra, bought",188,male
127,35,"sign, signed, signature, signs, signing",162,male
128,36,"big, bigger, size, small, huge",155,male
129,37,"lights, light, lamp, tools, bulb",156,male
130,38,"story, stories, mystery, tell, tale",153,male
131,39,"fat, pounds, weight, pound, weigh",148,male
132,40,"bernadette, bernadettes, ma, met, mother",140,male
133,41,"bar, bars, pub, dude, kll",131,male
134,42,"tree, trees, forest, woods, oak",129,male
135,43,"card, cards, deck, ace, wango",125,male
136,44,"ryan, temp, ryans, kelly, gosling",117,male
137,45,"hat, hats, cap, cowboy, fitted",123,male
138,46,"green, blue, color, brown, colour",116,male
139,47,"crazy, insane, madness, insanity, youre",114,male
140,48,"tape, tapes, scotch, recorder, vcr",128,male
141,49,"hug, hugs, hugging, thanks, handshake",95,male
142,50,"gym, exercise, exercises, muscles, pushups",115,male
143,51,"cookies, cookie, googi, chocolate, chip",95,male
144,52,"proud, brave, im, pride, kirby",120,male
145,53,"interview, interviewing, interviews, interviewed, interviewer",99,male
146,54,"kidding, joking, youve, gotta, youre",110,male
147,55,"ready, alright, okay, im, guys",103,male
148,56,"box, boxes, whats, opened, shadowbox",113,male
149,57,"news, rumor, bad, good, great",92,male
150,58,"sick, flu, disease, immune, sickness",94,male
151,59,"embarrassed, embarrassing, humiliating, humiliated, embarrass",98,male
152,60,"architect, architecture, design, arcadian, architects",112,male
153,61,"change, changed, changes, changing, capable",101,male
154,62,"weird, strange, odd, abnormal, weirdos",101,male
155,63,"secret, secrets, dah, tell, keeping",93,male
156,64,"surprise, surprised, shocked, surprises, brrrrrrrr",97,male
157,65,"emma, emmas, hugsy, dies, birthday",72,male
158,66,"invited, invite, invitation, inviting, uninvited",108,male
159,67,"candy, bar, candies, bars, twix",101,male
160,68,"toast, toaster, propose, french, oven",109,male
161,69,"pills, drugs, drug, prescription, medication",81,male
162,70,"susan, susans, carol, friend, carols",108,male
163,71,"fault, blame, wasnt, digging, ladies",85,male
164,72,"pen, pencil, pen1s, pens, ink",98,male
165,73,"run, marathon, running, mile, jog",92,male
166,74,"stairs, upstairs, downstairs, flights, stairwell",77,male
167,75,"cab, taxi, cabs, driver, caboose",90,male
168,76,"rules, rule, ground, alotta, follow",94,male
169,77,"massage, massages, masseuse, massaging, client",55,male
170,78,"glasses, goggles, frames, lenses, sunglasses",82,male
171,79,"bulldog, bulldogs, briscoe, rumor, miller",93,male
172,80,"bike, ride, bicycle, motorcycle, bikes",86,male
173,81,"eggs, egg, eggnog, omelet, white",85,male
174,82,"newman, newmans, ear, ukraine, newmanniun",110,male
175,83,"stripper, strip, strippers, club, pole",78,male
176,84,"garbage, trash, dumpster, dump, disposal",70,male
177,85,"charity, donation, foundation, donate, money",77,male
178,86,"dunder, mifflin, dundermifflin, infinity, wallace",88,male
179,87,"flowers, roses, flower, bouquet, precious",65,male
180,88,"train, trains, station, locomotive, gauge",83,male
181,89,"horse, pony, horses, ponies, immigrants",72,male
